,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
268,BFQ,2,2.0,1.0,5.92126923,13.0,0.00193477,0.0,0.00012493
269,BFS,18,18.0,0.4379085,5.09735607,12.0,0.06566068,343.38029792,0.00039639
270,BFV,1,1.0,,5.77286488,12.0,0.00585118,0.0,6.7e-05
271,BGA,6,6.0,0.66666667,5.95841804,13.0,0.00316182,3.33333333,0.00026202
272,BGF,5,5.0,0.5,6.23485886,13.0,0.00284523,80.03470959,0.00019047
273,BGI,16,16.0,0.475,4.94752163,12.0,0.07632321,2386.98905477,0.00039675
274,BGM,9,9.0,0.80555556,5.62503071,13.0,0.05850882,39.47032736,0.00021352
275,BGO,18,18.0,0.25490196,5.21676698,12.0,0.06307486,9272.1025381,0.00059605
276,BGR,8,8.0,0.60714286,5.56076041,13.0,0.04691529,230.03080506,0.00021798
277,BHB,2,2.0,1.0,5.67877322,13.0,0.00791982,0.0,0.00010246
278,BHE,3,3.0,1.0,5.85726691,12.0,0.00149062,0.0,0.00015081
279,BHG,2,2.0,1.0,7.57713654,15.0,4.257e-05,0.0,0.00016318
280,BHH,3,3.0,1.0,5.61956998,12.0,0.00879087,0.0,0.00011812
281,BHI,4,4.0,0.66666667,5.58823033,13.0,0.00340617,2.42490842,0.00020261
282,BHJ,2,2.0,1.0,5.69218322,12.0,0.00394012,0.0,0.00011504
283,BHK,2,2.0,1.0,5.4111086,12.0,0.01390949,0.0,8.681e-05
284,BHM,26,26.0,0.75076923,5.69274667,13.0,0.15985631,124.00728349,0.00052775
285,BHO,4,4.0,0.66666667,5.72745798,12.0,0.00811359,13.2427798,0.00016699
286,BHQ,2,2.0,0.0,6.62003983,12.0,0.00037297,50.66666667,0.00013892
287,BHR,1,1.0,,6.48434021,12.0,0.00118458,0.0,7.192e-05
288,BHS,3,3.0,1.0,5.88919088,12.0,0.0015025,0.0,0.00017033
289,BHU,1,1.0,,5.69220569,12.0,0.00387013,0.0,6.615e-05
290,BHV,3,3.0,1.0,6.04397599,12.0,0.00522845,0.0,0.00012576
291,BHX,50,50.0,0.43836735,5.17985405,12.0,0.33277548,3568.76721516,0.00096739
292,BHY,7,7.0,0.9047619,5.86850535,12.0,0.00493617,0.64584787,0.00017646
293,BHZ,17,17.0,0.26470588,5.77010063,13.0,0.00850568,4288.22578529,0.00066292
294,BIA,5,5.0,0.8,5.22374234,12.0,0.03213605,0.30874811,0.0001366
295,BII,2,2.0,1.0,7.59540556,14.0,9.2e-07,0.0,0.00017772
296,BIK,3,3.0,0.66666667,6.75346602,12.0,0.00012495,3611.68888889,0.0002068
297,BIL,13,13.0,0.29487179,5.66001795,13.0,0.02383978,23661.0842417,0.00055433
298,BIM,2,2.0,1.0,5.85742384,13.0,0.01075022,0.0,9.08e-05
299,BIN,1,1.0,,6.13289731,13.0,0.00090347,0.0,6.46e-05
300,BIO,23,23.0,0.5770751,5.16687778,12.0,0.15114291,615.86432915,0.00045661
301,BIQ,4,4.0,1.0,5.19009602,12.0,0.04098909,0.0,0.00012235
302,BIR,1,1.0,,6.48434021,12.0,0.00118458,0.0,7.192e-05
303,BIS,3,3.0,0.33333333,5.61857543,13.0,0.01300021,1692.26037326,0.00014154
304,BIU,1,1.0,,6.11801037,13.0,0.00239264,0.0,7.228e-05
305,BIW,2,2.0,0.0,8.9555791,15.0,2e-08,5.0,0.00021798
306,BJA,5,5.0,0.7,5.23046482,12.0,0.02879926,304.9950212,0.00015239
307,BJB,1,1.0,,6.1231271,13.0,0.00440033,0.0,6.751e-05
308,BJF,5,5.0,0.6,8.26755516,15.0,8.05e-06,2.93809524,0.00027367
309,BJI,3,3.0,0.0,5.63035092,13.0,0.00690019,3615.0,0.00019672
310,BJL,8,8.0,0.46428571,5.56790324,13.0,0.02754245,491.26662924,0.00021495
311,BJM,7,7.0,0.38095238,5.75152433,13.0,0.01522857,11750.31873634,0.0003177
312,BJR,7,7.0,0.38095238,6.27912914,13.0,0.00184577,3614.45,0.0003682
313,BJS,109,109.0,0.15562351,4.66640502,11.0,0.31793765,151623.5339008,0.0025892
314,BJX,14,14.0,0.58241758,5.15943056,12.0,0.05376006,268.65778213,0.00033796
